wordle_id,year,month,date,n_players,n_hard_mode,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_fail,answer
593,2023,2,2,21960,2082,0,5,33,38,18,5,1,shirk
594,2023,2,3,21485,2058,0,7,24,30,23,12,4,tasty
595,2023,2,4,20283,1962,0,3,25,40,24,8,1,unlit
596,2023,2,5,21678,2059,1,12,34,34,15,4,0,dance
597,2023,2,6,20174,1949,0,2,18,37,29,13,2,ninth
598,2023,2,7,22817,2079,1,14,31,29,18,7,1,apple
599,2023,2,8,20439,2001,0,2,16,38,30,12,2,flail
600,2023,2,9,23815,2322,1,9,20,24,22,18,7,stage
601,2023,2,10,21351,2003,0,4,24,40,24,7,1,heady
602,2023,2,11,19341,1926,0,2,16,37,31,13,1,debug
603,2023,2,12,20926,1990,1,8,38,36,14,3,0,giant
604,2023,2,13,20060,1889,0,4,32,39,19,6,1,usage
605,2023,2,14,23229,2223,1,13,33,26,14,8,4,sound
606,2023,2,15,20108,1994,0,2,14,34,32,14,2,salsa
607,2023,2,16,20556,1969,1,5,27,40,21,6,1,magic
609,2023,2,18,18586,1890,0,3,18,33,29,14,2,avail
610,2023,2,19,19106,1909,0,3,23,40,24,9,1,kiosk
611,2023,2,20,21466,2048,1,13,31,33,17,5,1,sweat
612,2023,2,21,20427,2004,0,2,23,33,24,13,4,ruddy
613,2023,2,22,19995,2072,0,1,8,21,25,26,19,riper
614,2023,2,23,19368,1915,1,4,20,34,28,12,1,vague
615,2023,2,24,19322,1919,0,4,20,31,28,14,2,arbor
616,2023,2,25,18188,1832,0,1,10,31,37,19,3,fifty
617,2023,2,26,19674,1933,0,4,29,40,20,6,1,syrup
618,2023,2,27,20106,1940,0,5,21,32,24,14,3,worse
619,2023,2,28,19575,1906,0,2,19,42,27,8,1,polka
620,2023,3,1,19655,1899,0,2,15,34,30,16,3,moose
621,2023,3,2,19618,1898,0,7,23,33,25,10,1,above
622,2023,3,3,18566,1834,0,4,26,37,23,8,1,squat
623,2023,3,4,20874,2010,1,15,42,30,10,2,0,trend
624,2023,3,5,19189,1862,0,3,20,36,29,10,1,toxic
